dataset,case,edits,words,wer,delta_edits_vs_baseline,rel_reduction_vs_baseline,wall_sec,whisper_total_ms
small_specific_hard_manifest,probe3_wg-1.5_we-0.8_wl1.2,42,515,0.08155339805825243,-6,0.125,46.28684210777283,45235.36
small_specific_hard_manifest,probe3_wg-1.5_we-0.2_wl1.2,42,515,0.08155339805825243,-6,0.125,46.44548940658569,45365.12
small_specific_hard_manifest,probe3_wg-1.5_we-0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,46.5196430683136,45444.939999999995
small_specific_hard_manifest,probe3_wg-0.8_we-0.2_wl1.0,42,515,0.08155339805825243,-6,0.125,46.55739235877991,45495.79
small_specific_hard_manifest,probe3_wg-1.0_we0.0_wl1.0,42,515,0.08155339805825243,-6,0.125,46.643635511398315,45518.810000000005
small_specific_hard_manifest,probe3_wg-1.0_we-0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,46.66363501548767,45597.88
small_specific_hard_manifest,probe3_wg-1.2_we-0.8_wl0.8,42,515,0.08155339805825243,-6,0.125,46.68670701980591,45606.22
small_specific_hard_manifest,probe3_wg-1.5_we0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,46.69112300872803,45612.68
small_specific_hard_manifest,probe3_wg-0.5_we-0.8_wl1.2,42,515,0.08155339805825243,-6,0.125,46.705743074417114,45646.42
small_specific_hard_manifest,probe3_wg-1.2_we-0.5_wl1.2,42,515,0.08155339805825243,-6,0.125,46.71568465232849,45595.47
small_specific_hard_manifest,probe3_wg-0.8_we-0.5_wl1.0,42,515,0.08155339805825243,-6,0.125,46.752280473709106,45678.87
small_specific_hard_manifest,probe3_wg-0.8_we-0.5_wl0.5,42,515,0.08155339805825243,-6,0.125,46.77845788002014,45677.67
small_specific_hard_manifest,probe3_wg-1.5_we0.0_wl0.5,42,515,0.08155339805825243,-6,0.125,46.78073525428772,45707.96000000001
small_specific_hard_manifest,probe3_wg-0.5_we0.0_wl0.5,42,515,0.08155339805825243,-6,0.125,46.7888662815094,45657.06
small_specific_hard_manifest,probe3_wg-1.2_we-0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,46.78987979888916,45707.0
small_specific_hard_manifest,probe3_wg-1.5_we-0.5_wl1.2,42,515,0.08155339805825243,-6,0.125,46.8184871673584,45671.47
small_specific_hard_manifest,probe3_wg-0.8_we-0.5_wl0.8,42,515,0.08155339805825243,-6,0.125,46.82868957519531,45758.240000000005
small_specific_hard_manifest,probe3_wg-1.5_we-0.5_wl0.5,42,515,0.08155339805825243,-6,0.125,46.831578493118286,45726.84
small_specific_hard_manifest,probe3_wg-0.5_we0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,46.846280097961426,45806.350000000006
small_specific_hard_manifest,probe3_wg-1.2_we-0.5_wl0.5,42,515,0.08155339805825243,-6,0.125,46.85231304168701,45751.090000000004
small_specific_hard_manifest,probe3_wg-1.0_we-0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,46.88379621505737,45717.35
small_specific_hard_manifest,probe3_wg-1.0_we0.0_wl0.8,42,515,0.08155339805825243,-6,0.125,46.886435985565186,45768.32
small_specific_hard_manifest,probe3_wg-1.5_we-0.8_wl1.0,42,515,0.08155339805825243,-6,0.125,46.898093938827515,45796.16
small_specific_hard_manifest,probe3_wg-1.0_we-0.2_wl1.0,42,515,0.08155339805825243,-6,0.125,46.9073166847229,45830.11
small_specific_hard_manifest,probe3_wg-1.0_we-0.2_wl1.2,42,515,0.08155339805825243,-6,0.125,46.91128897666931,45844.530000000006
small_specific_hard_manifest,probe3_wg-0.8_we0.0_wl0.5,42,515,0.08155339805825243,-6,0.125,46.921069860458374,45824.829999999994
small_specific_hard_manifest,probe3_wg-1.5_we-0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,46.950976610183716,45832.47
small_specific_hard_manifest,probe3_wg-1.2_we-0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,46.95733308792114,45866.5
small_specific_hard_manifest,probe3_wg-0.5_we-0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,46.9642288684845,45896.03999999999
small_specific_hard_manifest,probe3_wg-1.2_we0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,46.966147899627686,45885.39000000001
small_specific_hard_manifest,probe3_wg-0.8_we-0.2_wl1.2,42,515,0.08155339805825243,-6,0.125,46.967387437820435,45861.439999999995
small_specific_hard_manifest,probe3_wg-0.5_we0.0_wl1.0,42,515,0.08155339805825243,-6,0.125,46.96883153915405,45930.32000000001
small_specific_hard_manifest,probe3_wg-1.2_we-0.8_wl1.0,42,515,0.08155339805825243,-6,0.125,46.96917700767517,45864.100000000006
small_specific_hard_manifest,probe3_wg-0.5_we-0.2_wl1.2,42,515,0.08155339805825243,-6,0.125,46.97232961654663,45859.240000000005
small_specific_hard_manifest,probe3_wg-1.2_we0.0_wl0.5,42,515,0.08155339805825243,-6,0.125,46.97867774963379,45877.69
small_specific_hard_manifest,probe3_wg-1.5_we0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,47.02201795578003,45942.67999999999
small_specific_hard_manifest,probe3_wg-0.8_we-0.5_wl1.2,42,515,0.08155339805825243,-6,0.125,47.031023025512695,45964.759999999995
small_specific_hard_manifest,probe3_wg-1.0_we0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,47.042407751083374,45956.46000000001
small_specific_hard_manifest,probe3_wg-0.5_we-0.5_wl0.5,42,515,0.08155339805825243,-6,0.125,47.04812049865723,45944.47
small_specific_hard_manifest,probe3_wg-0.8_we0.0_wl0.8,42,515,0.08155339805825243,-6,0.125,47.052674293518066,45970.34
small_specific_hard_manifest,probe3_wg-1.5_we-0.5_wl0.8,42,515,0.08155339805825243,-6,0.125,47.05490517616272,45930.79
small_specific_hard_manifest,probe3_wg-1.2_we-0.5_wl0.8,42,515,0.08155339805825243,-6,0.125,47.06995749473572,45925.950000000004
small_specific_hard_manifest,probe3_wg-0.8_we-0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,47.07779836654663,45950.909999999996
small_specific_hard_manifest,probe3_wg-0.5_we-0.2_wl1.0,42,515,0.08155339805825243,-6,0.125,47.078558921813965,45963.72
small_specific_hard_manifest,probe3_wg-1.0_we0.0_wl0.5,42,515,0.08155339805825243,-6,0.125,47.08055567741394,46002.92
small_specific_hard_manifest,probe3_wg-0.5_we-0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,47.08318305015564,46010.92
small_specific_hard_manifest,probe3_wg-0.8_we-0.8_wl0.8,42,515,0.08155339805825243,-6,0.125,47.08382320404053,46005.799999999996
small_specific_hard_manifest,probe3_wg-0.8_we0.2_wl0.5,42,515,0.08155339805825243,-6,0.125,47.086496114730835,45993.09
small_specific_hard_manifest,probe3_wg-1.5_we-0.5_wl1.0,42,515,0.08155339805825243,-6,0.125,47.09300661087036,45987.340000000004
small_specific_hard_manifest,probe3_wg-1.2_we0.2_wl0.8,42,515,0.08155339805825243,-6,0.125,47.10605716705322,46031.24
small_specific_hard_manifest,probe3_wg-0.5_we-0.8_wl0.8,42,515,0.08155339805825243,-6,0.125,47.12073636054993,46040.700000000004
small_specific_hard_manifest,probe3_wg-1.5_we-0.2_wl1.0,42,515,0.08155339805825243,-6,0.125,47.1247239112854,46034.200000000004
